epoch,train_loss,val_loss,val_accuracy
1,1.6812352507697212,1.5452403360366822,0.4586
2,1.470294891336229,1.4576992446899415,0.4814
3,1.3719470109303793,1.4227195520401001,0.492
4,1.3022955903159248,1.4197951280593872,0.4986
5,1.2450682933383517,1.3920124090194703,0.5114
6,1.1968505525588988,1.4184014499664306,0.511
7,1.1549725706948175,1.3854110158920288,0.5098
8,1.1141314525286357,1.4343742441177367,0.511
9,1.077404421488444,1.4353455741882324,0.512
10,1.044284267616272,1.4502243343353272,0.5188
11,1.0163868163956535,1.4465933685302734,0.513
