epoch,train_loss,val_loss,val_accuracy
1,1.8581827130211723,1.6116584344863891,0.4362
2,1.656641338390774,1.5357192810058593,0.4542
3,1.5741895484288533,1.4739285348892213,0.4766
4,1.5169435736762154,1.4425503009796143,0.4914
5,1.4769864197836982,1.4022010139465333,0.4984
6,1.4285484095467462,1.3529067775726318,0.5236
7,1.3962112904018826,1.341805951499939,0.5232
8,1.358100249226888,1.3309918073654174,0.5292
9,1.3276752785152859,1.3073398714065552,0.5372
10,1.3036809863408407,1.3311667291641236,0.5262
11,1.2656218355814617,1.282118235206604,0.5482
12,1.2442793968836467,1.285227398109436,0.5468
13,1.2219008391062418,1.2949744270324708,0.5478
14,1.2010462676154243,1.2740213138580323,0.553
15,1.173166897116767,1.2867992490768432,0.5488
16,1.154931688478258,1.2780034315109252,0.553
17,1.1368215403238933,1.2779953979492187,0.5522
18,1.1172026457680597,1.2605503206253053,0.5624
19,1.09201120323605,1.2901888162612916,0.5546
20,1.0690221771240234,1.2874677232742309,0.5552
