epoch,train_loss,val_loss,val_accuracy
1,1.8616458226097954,1.6063211072921753,0.4344
2,1.6265597371207343,1.4765289154052734,0.4858
3,1.5295799326366848,1.4075210868835448,0.5046
4,1.469882588979933,1.378680479812622,0.5134
5,1.4159603408813477,1.351117713737488,0.5264
6,1.3705723169962565,1.3381398052215576,0.5214
7,1.3318995566474068,1.3337950523376465,0.5282
8,1.2924664577272202,1.2803644222259523,0.5432
9,1.2576639282650417,1.2907085945129395,0.5412
10,1.223234781604343,1.2676708402633667,0.552
11,1.2006134767108494,1.2781027967453003,0.5494
12,1.1684761214786106,1.264806945991516,0.5506
13,1.138692531267802,1.2595802947998047,0.5632
14,1.116408745066325,1.2519130931854248,0.563
15,1.0875412409888374,1.2705361490249634,0.5596
16,1.0623866828918458,1.2719263843536377,0.5642
17,1.0372432927661472,1.2678551712036132,0.5594
18,1.0126550783369277,1.2471009414672851,0.5682
19,0.9797349022123548,1.2414495204925537,0.5778
20,0.9641190112643772,1.2451610164642335,0.5698
21,0.9455066220389472,1.2645968864440917,0.5734
22,0.9207625460942587,1.2696028354644775,0.5708
23,0.899261624484592,1.2851427099227906,0.567
24,0.8854937573750814,1.2679288904190062,0.5718
25,0.8663867904663086,1.2871375709533692,0.5748
26,0.8443279786639744,1.274994224357605,0.5806
27,0.8276200488832262,1.3131726104736328,0.5722
