epoch,train_loss,val_loss,val_accuracy
1,1.8465537932925755,1.5823011787414551,0.4462
2,1.6299466403961183,1.499854167175293,0.4724
3,1.5441790593041314,1.4277859643936157,0.4958
4,1.4773750813590156,1.3855615898132325,0.5126
5,1.423508569018046,1.3461294923782348,0.518
6,1.3844653551101684,1.3261111225128175,0.5328
7,1.3417165180630155,1.3053794591903687,0.5376
8,1.310879329024421,1.310524236869812,0.533
9,1.2788821815066866,1.2878731704711914,0.5442
10,1.2471742341783312,1.2731186527252196,0.5438
11,1.2180522657606336,1.281501955795288,0.5452
12,1.1903448947270712,1.2756334840774537,0.5448
13,1.1635696289274429,1.2516855178833008,0.562
14,1.1405381374359131,1.2691835262298583,0.5542
15,1.1228264601601494,1.2525237907409668,0.5632
16,1.0911887177997166,1.2521956546783448,0.5678
17,1.0764115269131131,1.2663036701202393,0.5604
18,1.0547756268819173,1.2725856929779054,0.5586
19,1.0417140508651734,1.260183359527588,0.5602
