epoch,train_loss,val_loss,val_accuracy
1,1.846272087711758,1.6278774515151977,0.4294
2,1.6349412137561374,1.5075356630325318,0.4688
3,1.540034131887224,1.4464698747634888,0.4788
4,1.471442668830024,1.3956137628555298,0.5098
5,1.4157025634553697,1.3589385875701905,0.5218
6,1.3691757649739584,1.3314436813354493,0.5304
7,1.3283262097676596,1.3141224704742431,0.5332
8,1.286259288152059,1.3002943572998047,0.5406
9,1.249167056020101,1.293148087501526,0.5474
10,1.2091956554836698,1.2860206462860106,0.5498
11,1.176383306121826,1.2604590581893922,0.5564
12,1.1450056462499831,1.2571226823806763,0.5552
13,1.1105471566094292,1.25624737033844,0.5638
14,1.0805420856051975,1.2740492334365845,0.5552
15,1.0506480057610406,1.2599802101135253,0.5614
16,1.0213676385455661,1.26167862033844,0.5658
17,0.9882039996041192,1.2817281770706177,0.5666
18,0.9635632168663872,1.298609018135071,0.5622
19,0.9430833999209933,1.2762793104171752,0.5664
