epoch,train_loss,val_loss,val_accuracy
1,1.6898291176689995,1.565184799194336,0.4554
2,1.4824975401984322,1.4558609220504761,0.4898
3,1.384875542195638,1.4340237495422363,0.4928
4,1.3174629015180799,1.4233275342941285,0.505
5,1.2602374093797473,1.3875405881881715,0.5194
6,1.2139729152043661,1.3991277196884155,0.5158
7,1.1727003988160027,1.3747459800720214,0.5244
8,1.1324112216631572,1.4294863595962524,0.5204
9,1.0987610290103489,1.3935851835250854,0.5282
10,1.0645947358661227,1.429338928413391,0.5268
11,1.0376864775604673,1.408554552078247,0.5232
