epoch,train_loss,val_loss,val_accuracy
1,1.6987716811921862,1.557891023826599,0.453
2,1.490105672454834,1.473408190536499,0.48
3,1.3934483300738865,1.4367370389938354,0.483
4,1.3264073179033067,1.431866668319702,0.4962
5,1.2660542529212104,1.4041066484451294,0.5044
6,1.2210458470450507,1.4107085012435914,0.5126
7,1.1832168315675524,1.3969289306640624,0.5154
8,1.1384441132015652,1.4235783702850342,0.515
9,1.1054727622561984,1.4115887016296387,0.5192
10,1.0708031703948975,1.423236791229248,0.5198
11,1.041614377005895,1.4776725673675537,0.517
12,1.0147351703643799,1.4862902490615846,0.5092
