epoch,train_loss,val_loss,val_accuracy
1,1.6837279962539673,1.5423397523880005,0.451
2,1.4802464054107667,1.4336163648605347,0.4938
3,1.392943764919705,1.405885285758972,0.4954
4,1.3331998015509712,1.3890594394683837,0.5086
5,1.2842144541422527,1.3588984270095825,0.5118
6,1.2460268589019776,1.3764239768981934,0.5138
7,1.2135028436660766,1.3687436550140382,0.5124
8,1.1819220933490329,1.3613048923492432,0.5154
9,1.154875879711575,1.3434872058868408,0.5258
10,1.1295072303348117,1.357137052345276,0.5212
11,1.1060825884183247,1.3542700538635253,0.53
12,1.0827680867089167,1.3596340446472168,0.532
13,1.0658561722225612,1.348947190284729,0.5388
