epoch,train_loss,val_loss,val_accuracy
1,1.8191888628641764,1.5653243869781495,0.444
2,1.6037741680145263,1.4957610445022582,0.4614
3,1.5208148278130424,1.4047398174285888,0.4992
4,1.4464841811286078,1.4322851245880126,0.4872
5,1.3995608462863498,1.3570028162002563,0.5178
6,1.3496101682239108,1.311222387123108,0.5318
7,1.3079264835357667,1.2973867860794068,0.5378
8,1.2653469528198242,1.2708999027252197,0.543
9,1.233130718061659,1.3103349645614624,0.5332
10,1.1998485665427314,1.2716180103302002,0.5472
11,1.163487843661838,1.2429648208618165,0.5672
12,1.1355289248784384,1.243401621055603,0.5674
13,1.09942748497857,1.2580186714172363,0.5596
14,1.072051618830363,1.261272903060913,0.56
15,1.0512159552680123,1.232959504508972,0.5696
16,1.0104295948876274,1.2452897895812989,0.5642
17,0.9834787949879964,1.282827791595459,0.56
18,0.961273991394043,1.272349945640564,0.5652
19,0.9282452120886908,1.2676144512176513,0.5674
20,0.9122058970133463,1.3074077186584472,0.566
21,0.8863242223951552,1.2895642356872559,0.5758
