epoch,train_loss,val_loss,val_accuracy
1,1.7040957834879558,1.4988415721893311,0.4606
2,1.4966827734841242,1.4200993585586548,0.4964
3,1.4000654050615098,1.3471589267730713,0.526
4,1.3239132499906752,1.3254846956253052,0.5258
5,1.267154271528456,1.3181971702575683,0.5364
6,1.2127583541870117,1.2828065008163452,0.5504
7,1.1686874282201132,1.279063028526306,0.5506
8,1.117780418226454,1.270044291114807,0.5498
9,1.073124652226766,1.2747449193954468,0.5554
10,1.0334195951249865,1.2863003143310547,0.5446
11,0.9966219862620036,1.284697548866272,0.561
12,0.9568479934268528,1.309112290763855,0.552
13,0.9136546665827433,1.3035359600067138,0.5644
14,0.8872410224490695,1.284659143447876,0.5606
