epoch,train_loss,val_loss,val_accuracy
1,1.7671718760808308,1.5272444833755494,0.4568
2,1.5650235979715983,1.4525524501800537,0.4806
3,1.4781439231448703,1.399296914100647,0.4988
4,1.4129981261995104,1.3547284317016601,0.52
5,1.360280366812812,1.3286546710968017,0.5232
6,1.31465979569753,1.3024464786529542,0.5418
7,1.2755322898652819,1.282154726600647,0.5434
8,1.2348232379489474,1.2677462089538574,0.5516
9,1.2016955286661783,1.261803613090515,0.5552
10,1.1692330314212376,1.2487296382904052,0.5562
11,1.1366366011937459,1.235737555885315,0.5632
12,1.0956483548482259,1.2526274114608764,0.5612
13,1.0769569410324096,1.240749631881714,0.5694
14,1.0466070556852554,1.227041668319702,0.572
15,1.019542482799954,1.2424957288742065,0.5702
16,0.9956203225453695,1.2367595539093017,0.5706
17,0.973241724120246,1.2509465497970582,0.5654
18,0.9420997863875495,1.2548353677749633,0.5696
19,0.9238188595665826,1.2568688823699952,0.5682
20,0.9025212435404459,1.2609577213287353,0.577
