epoch,train_loss,val_loss,val_accuracy
1,2.1093292560153536,1.8598369007110596,0.34
2,1.9280530304378933,1.751232137298584,0.3882
3,1.866941146384345,1.7027978746414185,0.4044
4,1.839929495832655,1.6698503162384033,0.411
5,1.8113818710751004,1.6473255403518676,0.4196
6,1.7847470104429457,1.619666335105896,0.4292
7,1.7768078288184272,1.6052069953918457,0.4426
8,1.761089142311944,1.580634078025818,0.4528
9,1.752589562564426,1.5695420642852784,0.4452
10,1.7442299274232653,1.5682121593475342,0.45
11,1.7320031468921238,1.5399705642700194,0.4626
12,1.7282832427978516,1.5480865591049193,0.457
13,1.7210386335584853,1.536287843132019,0.46
14,1.7191436873753865,1.525065272331238,0.4612
15,1.7076023089938694,1.5200094394683838,0.473
