epoch,train_loss,val_loss,val_accuracy
1,1.878553319507175,1.6250308210372926,0.4198
2,1.6896481062995063,1.5342220275878906,0.4596
3,1.6217870550579494,1.4952564596176148,0.4662
4,1.5739396942986383,1.4607946491241455,0.4772
5,1.5491734934065078,1.4260736268997192,0.4992
6,1.5193116580327353,1.3930455278396607,0.5072
7,1.4942910573747423,1.395370962715149,0.5018
8,1.4798653267966377,1.3960355907440185,0.5078
9,1.4623332540724012,1.357622467803955,0.5156
10,1.4421630930158826,1.346613042640686,0.525
11,1.4349391523255242,1.3735617042541504,0.515
12,1.422410270500183,1.3399027069091798,0.5218
13,1.4170196021821764,1.339935606765747,0.5262
14,1.4038635674794515,1.3200629684448242,0.5314
15,1.3950782310061984,1.3336737499237061,0.5292
