epoch,train_loss,val_loss,val_accuracy
1,1.880758565351698,1.6380804357528687,0.422
2,1.692724190351698,1.5458724027633668,0.4526
3,1.6224487363391453,1.4750781675338744,0.4822
4,1.5747028465270996,1.452390701675415,0.4878
5,1.5436894129859076,1.4233623252868652,0.49
6,1.5131335094028049,1.3919300428390502,0.511
7,1.4952214880837336,1.3860999282836914,0.5046
8,1.480401506890191,1.3875564176559447,0.5098
9,1.4617045591778226,1.3709358081817626,0.5096
10,1.4538496284061009,1.3526573930740355,0.5236
11,1.4336948028564453,1.348588722038269,0.52
12,1.4245212084028456,1.3449852088928222,0.5208
13,1.4141120615217422,1.3424966957092286,0.5168
14,1.404487784661187,1.3435009593963623,0.524
15,1.3961797908782958,1.322843681907654,0.534
16,1.3898268410152859,1.3288880582809448,0.5294
17,1.3759449289957681,1.3157054681777953,0.5294
18,1.3751327532026503,1.3045239723205566,0.5454
19,1.3718772030088637,1.3174246013641358,0.5308
20,1.3581762121200562,1.3094687992095948,0.5292
21,1.3562288273705376,1.311357632446289,0.5336
22,1.349676355404324,1.3135830284118653,0.5396
23,1.3434294850667319,1.3130643642425537,0.5368
24,1.3370266967773436,1.3006608751296997,0.5402
25,1.3392341287824843,1.3172521699905395,0.5328
