epoch,train_loss,val_loss,val_accuracy
1,1.7788899612426758,1.5671482433319093,0.4406
2,1.570348232820299,1.4669716388702392,0.4774
3,1.4668783390045166,1.4023196062088013,0.4976
4,1.401682444636027,1.364330864715576,0.5196
5,1.3441585238986544,1.3197569478988647,0.5366
6,1.297724602678087,1.312181768989563,0.5394
7,1.2539313240475125,1.3020894348144532,0.5388
8,1.2009645292282105,1.2865273129463195,0.552
9,1.1631234709845648,1.2599137321472167,0.5592
10,1.1280159438663058,1.2621791223526,0.562
11,1.0900805342144437,1.252053699874878,0.5644
12,1.0606709156460232,1.2700472646713257,0.5612
13,1.010991639582316,1.2554950366973876,0.5692
14,0.9807306619856093,1.2490511198043823,0.5678
15,0.9390421145545111,1.24789483127594,0.5728
16,0.9017544697072771,1.2568628595352174,0.5758
17,0.8644091984324985,1.2992573749542236,0.5726
18,0.8397594241672092,1.3089705467224122,0.572
19,0.8060416587617663,1.3055989902496339,0.5784
20,0.7813288935979207,1.2879516033172607,0.5772
21,0.7461325140211317,1.3392880558013915,0.5652
