epoch,train_loss,val_loss,val_accuracy
1,1.7478428818808662,1.5878836137771606,0.4332
2,1.5195054744296603,1.5107753280639649,0.4614
3,1.4228532850901285,1.478810757446289,0.4804
4,1.3602432324303522,1.4357598676681518,0.497
5,1.3035933139801026,1.4337082408905029,0.4996
6,1.257394908226861,1.402110242652893,0.5144
7,1.2161758603837756,1.4121397871017456,0.508
8,1.1823047270668878,1.4071901903152466,0.5132
9,1.1503532126320732,1.4032520566940307,0.5168
10,1.1215525732252334,1.4124471754074097,0.5188
11,1.0904954187181262,1.4495984256744385,0.5096
12,1.0611775781419541,1.4261780609130859,0.5156
