epoch,train_loss,val_loss,val_accuracy
1,1.80185591668023,1.585105298614502,0.4346
2,1.613924046028985,1.50449250164032,0.4606
3,1.5298658449172973,1.4169089834213258,0.4996
4,1.4716232345157199,1.391740085220337,0.5022
5,1.422647696961297,1.3591398853302001,0.5166
6,1.3795564223183525,1.3355245714187622,0.5208
7,1.3531226540247598,1.3101831155776977,0.5394
8,1.3167235357284546,1.3136288064956665,0.5296
9,1.2816264080047608,1.2912110063552857,0.5458
10,1.2550883547994827,1.2946703161239623,0.5468
11,1.2350191463046605,1.2755556735992433,0.5498
12,1.2081353207694159,1.28011967086792,0.5512
13,1.1828242010116576,1.271062890625,0.5476
14,1.159478438059489,1.3150660682678224,0.5406
15,1.143366009479099,1.266801869392395,0.5572
16,1.118988779089186,1.2621027946472168,0.5602
17,1.098172775607639,1.2804774557113647,0.5542
18,1.0845697660658096,1.2621051704406738,0.5566
19,1.0625930565728081,1.273629828453064,0.5646
20,1.047418111843533,1.2755037942886354,0.5568
