epoch,train_loss,val_loss,val_accuracy
1,1.9459028995513916,1.6917292573928833,0.3972
2,1.7509253750695122,1.5799819757461548,0.443
3,1.6825299052980212,1.5431277183532714,0.461
4,1.6400803587595623,1.5003198062896728,0.47
5,1.6156260949452719,1.466423536491394,0.4792
6,1.5793054939693876,1.4433081182479859,0.4882
7,1.5633941722446019,1.436734453201294,0.491
8,1.541520795165168,1.4293173955917358,0.4886
9,1.5319531531863742,1.4046472106933594,0.4968
10,1.5201427480061849,1.3920670860290527,0.504
11,1.498378552309672,1.4015042381286622,0.499
12,1.4896430524190267,1.3784704544067383,0.5136
13,1.4823958113564386,1.379689777946472,0.5144
14,1.4778261845058864,1.3619784469604492,0.5158
15,1.4677774610943264,1.3612267318725586,0.5104
