epoch,train_loss,val_loss,val_accuracy
1,1.8822999677022298,1.6385202598571778,0.414
2,1.6900083355797662,1.5289698791503907,0.4496
3,1.614097341325548,1.4771362991333008,0.4718
4,1.557646324327257,1.4461626634597777,0.4838
5,1.5154260231865777,1.420791071510315,0.4964
6,1.4773495965957641,1.380143404006958,0.5164
7,1.451470517985026,1.3711903999328614,0.5158
8,1.4210359786987306,1.3436273946762085,0.527
9,1.401730357805888,1.3434216756820678,0.5192
10,1.3737145972145928,1.3104450815200805,0.5286
11,1.353284966023763,1.3038754037857057,0.5414
12,1.331708348549737,1.2955280914306642,0.5418
13,1.3158575892978244,1.2872461151123047,0.5384
14,1.2944721953074136,1.289099041366577,0.547
15,1.2866546251508926,1.271415303993225,0.5424
16,1.2661747959984673,1.2762993497848512,0.5504
17,1.250593023914761,1.2732367071151733,0.5504
18,1.2328756889131334,1.2799568187713624,0.5468
19,1.2186398177888658,1.2623971879959106,0.5526
20,1.208924640252855,1.250830783843994,0.5586
