epoch,train_loss,val_loss,val_accuracy
1,1.8236320853975083,1.623884406852722,0.4202
2,1.5534641226874457,1.5314017198562622,0.4612
3,1.4457118393368191,1.4679232704162597,0.4718
4,1.3686856541951498,1.4406094858169556,0.4952
5,1.3104234688017102,1.3880423027038573,0.5114
6,1.2591756236394247,1.4161663398742677,0.5124
7,1.2271312554889255,1.384884553527832,0.5182
8,1.1875090405464173,1.4165683359146117,0.5046
9,1.1529882820765178,1.3608012187957763,0.524
10,1.1243732627444798,1.4142584182739257,0.515
11,1.099684100484848,1.3853469547271728,0.5278
12,1.0652967037412855,1.4146579154968262,0.5222
13,1.0507292476654053,1.4445191951751708,0.515
