epoch,train_loss,val_loss,val_accuracy
1,1.9516142068227131,1.7071742601394653,0.3954
2,1.7831162524117363,1.6306770502090455,0.4214
3,1.7388463952594333,1.6015482318878174,0.4336
4,1.7167075315687392,1.59132329120636,0.4384
5,1.699231057273017,1.5900637775421143,0.4396
6,1.6925728571573893,1.5646569969177246,0.443
7,1.6865878629048665,1.5433874629974365,0.4642
8,1.6738664227803548,1.5461847679138183,0.4604
9,1.6703533203125,1.5435011451721192,0.4642
10,1.6707248113844129,1.5326946895599365,0.4542
11,1.6663185125986735,1.5329963603973389,0.4488
12,1.657408887439304,1.5270256908416748,0.4534
13,1.6530663790173001,1.5243929666519165,0.4674
14,1.6566148384941948,1.5126241767883302,0.4644
15,1.6528105954911974,1.543390025138855,0.464
