epoch,train_loss,val_loss,val_accuracy
1,1.6986058847109478,1.5783060314178468,0.4538
2,1.5114110694673326,1.4982774263381957,0.4782
3,1.4420484797371758,1.484306866645813,0.477
4,1.3971509425269233,1.4711504421234132,0.487
5,1.3610323557535808,1.4280543313980103,0.4926
6,1.3295553448147244,1.4345112586975097,0.5
7,1.3079206681251525,1.4059472152709962,0.5032
8,1.2823988012737697,1.4405441585540772,0.4962
9,1.2603551509857178,1.3902887657165528,0.5024
10,1.247545684475369,1.4259376167297364,0.5028
11,1.2312481183687847,1.3860380504608154,0.504
12,1.218920484076606,1.3813815147399902,0.5204
13,1.2053886242760552,1.3867842370986938,0.5098
14,1.1916099472999573,1.386686074447632,0.5118
15,1.1800171634886,1.41299773979187,0.5192
16,1.1769895554436578,1.381815431022644,0.5258
