epoch,train_loss,val_loss,val_accuracy
1,1.834281842274136,1.5964302463531495,0.4208
2,1.6532946269777087,1.522291103363037,0.4632
3,1.5859175893571642,1.4851379175186157,0.463
4,1.5378252557754517,1.420123165512085,0.4892
5,1.511551542048984,1.4055375787734985,0.4984
6,1.4823102439668443,1.400824552154541,0.498
7,1.467567498397827,1.382404047012329,0.5034
8,1.4390065839555528,1.364264472579956,0.5078
9,1.4240574427074857,1.3621396184921264,0.5216
10,1.4143113896687824,1.3503578565597534,0.5204
11,1.4084194887373183,1.334477983856201,0.5202
12,1.3865088140275743,1.3294754133224487,0.5234
13,1.3756100694444444,1.3374742385864258,0.5266
14,1.3676122475624084,1.3095064737319946,0.5292
15,1.3672018803702461,1.3197121461868286,0.529
16,1.3523994979434544,1.3036519207000732,0.5406
17,1.3493998488532173,1.2952890090942384,0.539
18,1.3412138296763103,1.307448770713806,0.5358
19,1.3337273982577853,1.3138694381713867,0.5284
20,1.3265200755649142,1.3110650396347046,0.534
