run_name,window,test_fraction,log_price,diff_target,hidden_size,num_layers,task,loss,learning_rate,seed,test_accuracy,test_precision,test_recall,test_f1_score,test_majority_rate,test_rmse,test_mae,test_mape,test_r2,test_directional_accuracy,test_naive_rmse,test_beats_naive,test_movement_ratio,test_movement_corr
win_10,10,0.2,True,True,64,2,regression,mse,0.0001,42,,,,,,606.9886067737926,405.8481156590735,4.120174468873178,0.969563492053658,0.5196850393700787,607.9422669664602,True,0.0524712834425193,0.04920703970640186
loss_mae,30,0.2,True,True,64,2,regression,mae,0.0001,42,,,,,,607.0351832241029,406.926624462232,4.13123484421026,0.9695588208658501,0.5078740157480315,607.9422669664602,True,0.04298075657198258,0.07577504786886018
formul_dolar,30,0.2,False,True,64,2,regression,mse,0.001,42,,,,,,607.3112463569126,405.67743570156136,4.120877927047903,0.9695311270143095,0.5433070866141733,607.9422905563133,True,0.023421027227135925,0.04995520825348198
win_5,5,0.2,True,True,64,2,regression,mse,0.0001,42,,,,,,607.3545625009195,406.39613549870074,4.128423880963497,0.9695267804186505,0.5196850393700787,607.9422669664602,True,0.06041781456405343,0.03997816174222021
loss_huber,30,0.2,True,True,64,2,regression,huber,0.0001,42,,,,,,607.6435582789708,406.4440022415402,4.121837793055773,0.9694977735499656,0.5078740157480315,607.9422669664602,True,0.050896064984867324,0.027766114521197528
loss_mse,30,0.2,True,True,64,2,regression,mse,0.0001,42,,,,,,607.6923719847254,406.37276522515145,4.1215516271571735,0.9694928726948794,0.49606299212598426,607.9422669664602,True,0.04933829038749883,0.025338388575974986
lr_0.0001,30,0.2,True,True,64,2,regression,mse,0.0001,42,,,,,,607.6923719847254,406.37276522515145,4.1215516271571735,0.9694928726948794,0.49606299212598426,607.9422669664602,True,0.04933829038749883,0.025338388575974986
lr_0.0003,30,0.2,True,True,64,2,regression,mse,0.0003,42,,,,,,607.8487664954847,406.09399537222384,4.121716830857326,0.9694771681660221,0.48031496062992124,607.9422669664602,True,0.03803142013647014,0.013049448079256145
formul_logretorno,30,0.2,True,True,64,2,regression,mse,0.001,42,,,,,,607.9819443346125,405.97265406870406,4.123054117280624,0.9694637917792542,0.5,607.9422669664602,False,0.02443292700217605,-0.005382758651745733
lr_0.001,30,0.2,True,True,64,2,regression,mse,0.001,42,,,,,,607.9819443346125,405.97265406870406,4.123054117280624,0.9694637917792542,0.5,607.9422669664602,False,0.02443292700217605,-0.005382758651745733
win_60,60,0.2,True,True,64,2,regression,mse,0.0001,42,,,,,,608.1575627488401,406.54554893856607,4.123006878609338,0.9694461481796783,0.5118110236220472,607.9422669664602,False,0.05189697143700151,0.012740627811676326
lr_0.003,30,0.2,True,True,64,2,regression,mse,0.003,42,,,,,,608.4201198740565,405.93887680912445,4.1246323315315285,0.9694197607311976,0.5196850393700787,607.9422669664602,False,0.01621607216948544,-0.06379537911435426
lr_0.01,30,0.2,True,True,64,2,regression,mse,0.01,42,,,,,,608.8979077305548,405.8390722271529,4.124765834091833,0.9693717129977407,0.5196850393700787,607.9422669664602,False,0.015163204875420395,-0.1165311002137747
win_3,3,0.2,True,True,64,2,regression,mse,0.0001,42,,,,,,611.3643804711288,408.69205187268466,4.139566330644763,0.9691230774306082,0.5118110236220472,607.9422669664602,False,0.09061547425758533,-0.02121557146876384
formul_lognivel,30,0.2,True,False,64,2,regression,mse,0.001,42,,,,,,1217.5379294628112,835.0910145695816,7.971524092169253,0.8775387371843492,0.5039370078740157,607.942271663599,False,1.328279529569377,0.08578841682481902
formul_nivel,30,0.2,False,False,64,2,regression,mse,0.001,42,,,,,,3850.5650509342095,2851.3547230048443,25.497016334543826,-0.224849364105407,0.484251968503937,607.9422831678767,False,4.279943579745494,0.12070613743086046
dir_w10_lr0.0001,10,0.2,True,True,32,1,direction,mse,0.0001,42,0.5275590551181102,0.0,0.0,0.0,0.5275590551181102,,,,,,,,,
dir_w10_lr0.001,10,0.2,True,True,32,1,direction,mse,0.001,42,0.5275590551181102,0.0,0.0,0.0,0.5275590551181102,,,,,,,,,
dir_w30_lr0.0001,30,0.2,True,True,32,1,direction,mse,0.0001,42,0.5275590551181102,0.0,0.0,0.0,0.5275590551181102,,,,,,,,,
dir_w30_lr0.001,30,0.2,True,True,32,1,direction,mse,0.001,42,0.5275590551181102,0.0,0.0,0.0,0.5275590551181102,,,,,,,,,
dir_w5_lr0.0001,5,0.2,True,True,32,1,direction,mse,0.0001,42,0.5275590551181102,0.0,0.0,0.0,0.5275590551181102,,,,,,,,,
dir_w5_lr0.001,5,0.2,True,True,32,1,direction,mse,0.001,42,0.6062992125984252,0.5757575757575758,0.6333333333333333,0.6031746031746033,0.5275590551181102,,,,,,,,,
dirseed_0,5,0.2,True,True,32,1,direction,mse,0.001,0,0.6181102362204725,0.5864661654135338,0.65,0.616600790513834,0.5275590551181102,,,,,,,,,
dirseed_123,5,0.2,True,True,32,1,direction,mse,0.001,123,0.5275590551181102,0.0,0.0,0.0,0.5275590551181102,,,,,,,,,
dirseed_1,5,0.2,True,True,32,1,direction,mse,0.001,1,0.6259842519685039,0.616822429906542,0.55,0.5814977973568282,0.5275590551181102,,,,,,,,,
dirseed_42,5,0.2,True,True,32,1,direction,mse,0.001,42,0.6062992125984252,0.5757575757575758,0.6333333333333333,0.6031746031746033,0.5275590551181102,,,,,,,,,
dirseed_7,5,0.2,True,True,32,1,direction,mse,0.001,7,0.6220472440944882,0.5857142857142857,0.6833333333333333,0.6307692307692309,0.5275590551181102,,,,,,,,,
