dobra,semente,treino_ate,teste_de,teste_ate,n_teste,acc,f1,majoritaria,ganho
1,0,2016-08-27,2016-08-28,2017-01-24,150,0.6510067114093959,0.7078651685393258,0.5436241626739502,0.10738254873544573
1,1,2016-08-27,2016-08-28,2017-01-24,150,0.6577181208053692,0.6482758620689656,0.5436241626739502,0.11409395813141898
1,2,2016-08-27,2016-08-28,2017-01-24,150,0.6510067114093959,0.6231884057971014,0.5436241626739502,0.10738254873544573
2,0,2017-01-01,2017-01-02,2017-05-31,150,0.6577181208053692,0.6577181208053691,0.5234899520874023,0.13422816871796683
2,1,2017-01-01,2017-01-02,2017-05-31,150,0.6577181208053692,0.6666666666666667,0.5234899520874023,0.13422816871796683
2,2,2017-01-01,2017-01-02,2017-05-31,150,0.6577181208053692,0.6871165644171779,0.5234899520874023,0.13422816871796683
3,0,2017-05-09,2017-05-10,2017-10-06,150,0.5302013422818792,0.0,0.5302013158798218,2.640205742920898e-08
3,1,2017-05-09,2017-05-10,2017-10-06,150,0.5302013422818792,0.0,0.5302013158798218,2.640205742920898e-08
3,2,2017-05-09,2017-05-10,2017-10-06,150,0.5369127516778524,0.028169014084507043,0.5302013158798218,0.006711435798030574
4,0,2017-09-13,2017-09-14,2018-02-10,150,0.7046979865771812,0.6901408450704225,0.5302013158798218,0.1744966706973594
4,1,2017-09-13,2017-09-14,2018-02-10,150,0.7114093959731543,0.6950354609929078,0.5302013158798218,0.18120808009333256
4,2,2017-09-13,2017-09-14,2018-02-10,150,0.7248322147651006,0.7007299270072992,0.5302013158798218,0.19463089888527885
