dobra,semente,treino_ate,teste_de,teste_ate,n_teste,acc,f1,majoritaria,ganho
1,0,2020-04-21,2020-04-22,2020-11-07,200,0.7738693467336684,0.7761194029850746,0.5075377225875854,0.2663316241460829
1,1,2020-04-21,2020-04-22,2020-11-07,200,0.7638190954773869,0.7564766839378239,0.5075377225875854,0.25628137288980146
1,2,2020-04-21,2020-04-22,2020-11-07,200,0.7638190954773869,0.7513227513227514,0.5075377225875854,0.25628137288980146
2,0,2020-11-24,2020-11-25,2021-06-12,200,0.7587939698492462,0.7735849056603774,0.5125628113746643,0.24623115847458188
2,1,2020-11-24,2020-11-25,2021-06-12,200,0.7638190954773869,0.7751196172248803,0.5125628113746643,0.2512562841027226
2,2,2020-11-24,2020-11-25,2021-06-12,200,0.7638190954773869,0.7772511848341231,0.5125628113746643,0.2512562841027226
3,0,2021-06-30,2021-07-01,2022-01-16,200,0.7336683417085427,0.7225130890052356,0.5025125741958618,0.23115576751268085
3,1,2021-06-30,2021-07-01,2022-01-16,200,0.7135678391959799,0.7219512195121951,0.5025125741958618,0.21105526500011806
3,2,2021-06-30,2021-07-01,2022-01-16,200,0.7236180904522613,0.729064039408867,0.5025125741958618,0.22110551625639951
4,0,2022-02-03,2022-02-04,2022-08-22,200,0.6984924623115578,0.7029702970297029,0.5226130485534668,0.17587941375809102
4,1,2022-02-03,2022-02-04,2022-08-22,200,0.6934673366834171,0.7081339712918661,0.5226130485534668,0.1708542881299503
4,2,2022-02-03,2022-02-04,2022-08-22,200,0.6884422110552764,0.7075471698113207,0.5226130485534668,0.16582916250180957
5,0,2022-09-08,2022-09-09,2023-03-27,200,0.7386934673366834,0.7263157894736842,0.5025125741958618,0.23618089314082158
5,1,2022-09-08,2022-09-09,2023-03-27,200,0.7286432160804021,0.7065217391304347,0.5025125741958618,0.22613064188454024
5,2,2022-09-08,2022-09-09,2023-03-27,200,0.7236180904522613,0.7263681592039801,0.5025125741958618,0.22110551625639951
