dobra,semente,treino_ate,teste_de,teste_ate,n_teste,acc,f1,majoritaria,ganho
1,0,2020-04-21,2020-04-22,2020-11-07,200,0.7688442211055276,0.735632183908046,0.5075377225875854,0.2613064985179422
1,1,2020-04-21,2020-04-22,2020-11-07,200,0.7688442211055276,0.735632183908046,0.5075377225875854,0.2613064985179422
1,2,2020-04-21,2020-04-22,2020-11-07,200,0.7688442211055276,0.7415730337078652,0.5075377225875854,0.2613064985179422
2,0,2020-11-24,2020-11-25,2021-06-12,200,0.7487437185929648,0.7524752475247525,0.5125628113746643,0.23618090721830054
2,1,2020-11-24,2020-11-25,2021-06-12,200,0.7688442211055276,0.780952380952381,0.5125628113746643,0.25628140973086333
2,2,2020-11-24,2020-11-25,2021-06-12,200,0.7587939698492462,0.7757009345794392,0.5125628113746643,0.24623115847458188
3,0,2021-06-30,2021-07-01,2022-01-16,200,0.7336683417085427,0.7336683417085427,0.5025125741958618,0.23115576751268085
3,1,2021-06-30,2021-07-01,2022-01-16,200,0.7236180904522613,0.7120418848167539,0.5025125741958618,0.22110551625639951
3,2,2021-06-30,2021-07-01,2022-01-16,200,0.7336683417085427,0.7253886010362695,0.5025125741958618,0.23115576751268085
4,0,2022-02-03,2022-02-04,2022-08-22,200,0.6834170854271356,0.7014218009478673,0.5226130485534668,0.16080403687366884
4,1,2022-02-03,2022-02-04,2022-08-22,200,0.7185929648241206,0.7171717171717172,0.5226130485534668,0.1959799162706538
4,2,2022-02-03,2022-02-04,2022-08-22,200,0.7135678391959799,0.7106598984771574,0.5226130485534668,0.19095479064251308
5,0,2022-09-08,2022-09-09,2023-03-27,200,0.7135678391959799,0.6742857142857143,0.5025125741958618,0.21105526500011806
5,1,2022-09-08,2022-09-09,2023-03-27,200,0.6984924623115578,0.6875,0.5025125741958618,0.195979888115696
5,2,2022-09-08,2022-09-09,2023-03-27,200,0.7035175879396985,0.6703910614525139,0.5025125741958618,0.20100501374383672
