dobra,semente,treino_ate,teste_de,teste_ate,n_teste,acc,f1,majoritaria,ganho
1,0,2020-04-21,2020-04-22,2020-11-07,200,0.5778894472361809,0.732484076433121,0.5778894424438477,4.7923331969457195e-09
1,1,2020-04-21,2020-04-22,2020-11-07,200,0.5778894472361809,0.732484076433121,0.5778894424438477,4.7923331969457195e-09
1,2,2020-04-21,2020-04-22,2020-11-07,200,0.5778894472361809,0.732484076433121,0.5778894424438477,4.7923331969457195e-09
2,0,2020-11-24,2020-11-25,2021-06-12,200,0.5276381909547738,0.6907894736842105,0.5276381969451904,-5.990416607204452e-09
2,1,2020-11-24,2020-11-25,2021-06-12,200,0.5276381909547738,0.6907894736842105,0.5276381969451904,-5.990416607204452e-09
2,2,2020-11-24,2020-11-25,2021-06-12,200,0.5276381909547738,0.6907894736842105,0.5276381969451904,-5.990416607204452e-09
3,0,2021-06-30,2021-07-01,2022-01-16,200,0.49246231155778897,0.0,0.5075376629829407,-0.015075351425151706
3,1,2021-06-30,2021-07-01,2022-01-16,200,0.507537688442211,0.6733333333333333,0.5075376629829407,2.5459270358574315e-08
3,2,2021-06-30,2021-07-01,2022-01-16,200,0.507537688442211,0.6733333333333333,0.5075376629829407,2.5459270358574315e-08
4,0,2022-02-03,2022-02-04,2022-08-22,200,0.5477386934673367,0.0,0.5477386713027954,2.216454131342971e-08
4,1,2022-02-03,2022-02-04,2022-08-22,200,0.45226130653266333,0.6228373702422145,0.5477386713027954,-0.09547736477013208
4,2,2022-02-03,2022-02-04,2022-08-22,200,0.45226130653266333,0.6228373702422145,0.5477386713027954,-0.09547736477013208
5,0,2022-09-08,2022-09-09,2023-03-27,200,0.46733668341708545,0.636986301369863,0.5326633453369141,-0.06532666191982861
5,1,2022-09-08,2022-09-09,2023-03-27,200,0.46733668341708545,0.636986301369863,0.5326633453369141,-0.06532666191982861
5,2,2022-09-08,2022-09-09,2023-03-27,200,0.46733668341708545,0.636986301369863,0.5326633453369141,-0.06532666191982861
