seed,percentil_limiar,limiar_retorno,cobertura,n,acc,maj_subconjunto,ganho
0,0,6.851669352769818e-06,0.9976958525345622,433,0.5542725173210161,0.5381062030792236,0.01616631424179249
0,25,0.007567915930807967,0.631336405529954,274,0.5547445255474452,0.5182482004165649,0.0364963251308803
0,50,0.01825342225383686,0.3456221198156682,150,0.5533333333333333,0.5133333206176758,0.04000001271565756
0,75,0.03865485148522119,0.11981566820276497,52,0.6346153846153846,0.5961538553237915,0.03846152929159308
0,90,0.06882868822124966,0.041474654377880185,18,0.6111111111111112,0.6111111044883728,6.622738357719982e-09
1,0,6.851669352769818e-06,0.9976958525345622,433,0.4618937644341801,0.5381062030792236,-0.07621243864504351
1,25,0.007567915930807967,0.631336405529954,274,0.48175182481751827,0.5182482004165649,-0.03649637559904667
1,50,0.01825342225383686,0.3456221198156682,150,0.5133333333333333,0.5133333206176758,1.2715657526918278e-08
1,75,0.03865485148522119,0.11981566820276497,52,0.5961538461538461,0.5961538553237915,-9.169945358600273e-09
1,90,0.06882868822124966,0.041474654377880185,18,0.6111111111111112,0.6111111044883728,6.622738357719982e-09
2,0,6.851669352769818e-06,0.9976958525345622,433,0.4618937644341801,0.5381062030792236,-0.07621243864504351
2,25,0.007567915930807967,0.631336405529954,274,0.48175182481751827,0.5182482004165649,-0.03649637559904667
2,50,0.01825342225383686,0.3456221198156682,150,0.5133333333333333,0.5133333206176758,1.2715657526918278e-08
2,75,0.03865485148522119,0.11981566820276497,52,0.5961538461538461,0.5961538553237915,-9.169945358600273e-09
2,90,0.06882868822124966,0.041474654377880185,18,0.6111111111111112,0.6111111044883728,6.622738357719982e-09
3,0,6.851669352769818e-06,0.9976958525345622,433,0.4618937644341801,0.5381062030792236,-0.07621243864504351
3,25,0.007567915930807967,0.631336405529954,274,0.48175182481751827,0.5182482004165649,-0.03649637559904667
3,50,0.01825342225383686,0.3456221198156682,150,0.5133333333333333,0.5133333206176758,1.2715657526918278e-08
3,75,0.03865485148522119,0.11981566820276497,52,0.5961538461538461,0.5961538553237915,-9.169945358600273e-09
3,90,0.06882868822124966,0.041474654377880185,18,0.6111111111111112,0.6111111044883728,6.622738357719982e-09
4,0,6.851669352769818e-06,0.9976958525345622,433,0.5381062355658198,0.5381062030792236,3.2486596190928196e-08
4,25,0.007567915930807967,0.631336405529954,274,0.5182481751824818,0.5182482004165649,-2.523408315635578e-08
4,50,0.01825342225383686,0.3456221198156682,150,0.4866666666666667,0.5133333206176758,-0.02666665395100909
4,75,0.03865485148522119,0.11981566820276497,52,0.40384615384615385,0.5961538553237915,-0.19230770147763765
4,90,0.06882868822124966,0.041474654377880185,18,0.3888888888888889,0.6111111044883728,-0.2222222155994839
